seed,copula_name,k_tau,alpha_c_mult,alpha_c_used,gamma_c,n_samples,n_features,censoring_rate,censoring_bin,err_ipcw,err_dep_bguw
0,clayton,0.5,1.5384615384615385,29.230769230769234,6.0,10000,10,0.02969999999999995,0-10,0.0006190074053071676,0.0006102468120684351
0,clayton,0.5,1.2307692307692308,23.384615384615387,6.0,10000,10,0.1594,10-20,0.012978150499728669,0.012377135487844498
0,clayton,0.5,1.0769230769230769,20.46153846153846,6.0,10000,10,0.3589,30-40,0.030269503047225046,0.023876774677541596
0,clayton,0.5,0.9589743589743589,18.22051282051282,6.0,10000,10,0.5651999999999999,50-60,0.03015884185581702,0.030881892493936303
0,clayton,0.5,0.8769230769230769,16.661538461538463,6.0,10000,10,0.6973,60-70,0.024958075707041116,0.016888762675980856
0,clayton,0.5,0.7948717948717949,15.102564102564104,6.0,10000,10,0.7967,70-80,0.13070616988042222,0.03506026153960726
0,clayton,0.5,0.7128205128205127,13.543589743589742,6.0,10000,10,0.8714,80-90,0.278186977806765,0.131604365033247
0,clayton,0.5,0.6307692307692307,11.984615384615385,6.0,10000,10,0.9226,90-100,0.3858072384697282,0.21920906177586133
0,clayton,0.5,0.5282051282051282,10.035897435897436,6.0,10000,10,0.9647,90-100,0.4784464755555311,0.2682170286144463
0,clayton,0.5,0.40512820512820513,7.697435897435898,6.0,10000,10,0.9869,90-100,0.5705652140117959,0.41356806427294457
1,clayton,0.5,1.5384615384615385,29.230769230769234,6.0,10000,10,0.09670000000000001,0-10,0.0023249717783925955,0.0012852314622763678
1,clayton,0.5,1.2307692307692308,23.384615384615387,6.0,10000,10,0.389,30-40,0.029940081729068244,0.01566907376031318
1,clayton,0.5,1.0769230769230769,20.46153846153846,6.0,10000,10,0.6088,60-70,0.0195622375063558,0.014832324745346542
1,clayton,0.5,0.9589743589743589,18.22051282051282,6.0,10000,10,0.7504,70-80,0.08323061077266868,0.026638594797691817
1,clayton,0.5,0.8769230769230769,16.661538461538463,6.0,10000,10,0.8240000000000001,80-90,0.17120359484686726,0.0604001954566451
1,clayton,0.5,0.7948717948717949,15.102564102564104,6.0,10000,10,0.8828,80-90,0.2728672158395241,0.11825444666815349
1,clayton,0.5,0.7128205128205127,13.543589743589742,6.0,10000,10,0.9254,90-100,0.3524395873419594,0.1621594142411918
1,clayton,0.5,0.6307692307692307,11.984615384615385,6.0,10000,10,0.9562,90-100,0.43191938281708075,0.27926684130152535
1,clayton,0.5,0.5282051282051282,10.035897435897436,6.0,10000,10,0.9803,90-100,0.49131961453965256,0.3385614283127121
1,clayton,0.5,0.40512820512820513,7.697435897435898,6.0,10000,10,0.9937,90-100,0.5266074702935718,0.3124358016703417
2,clayton,0.5,1.5384615384615385,29.230769230769234,6.0,10000,10,0.0009000000000000119,0-10,0.002326328724072582,0.0023274629441265293
2,clayton,0.5,1.2307692307692308,23.384615384615387,6.0,10000,10,0.0027000000000000357,0-10,0.0022684477514563622,0.0023036315266797974
2,clayton,0.5,1.0769230769230769,20.46153846153846,6.0,10000,10,0.007000000000000006,0-10,0.002079695137122403,0.0021936750842022207
2,clayton,0.5,0.9589743589743589,18.22051282051282,6.0,10000,10,0.015800000000000036,0-10,0.001722659699280829,0.0021199290152246614
2,clayton,0.5,0.8769230769230769,16.661538461538463,6.0,10000,10,0.029200000000000004,0-10,0.0016105635851561134,0.0019290901996855125
2,clayton,0.5,0.7948717948717949,15.102564102564104,6.0,10000,10,0.05579999999999996,0-10,0.00228552991366672,0.0019215375955289604
2,clayton,0.5,0.7128205128205127,13.543589743589742,6.0,10000,10,0.11509999999999998,10-20,0.007158713009001852,0.006558863024494779
2,clayton,0.5,0.6307692307692307,11.984615384615385,6.0,10000,10,0.24739999999999995,20-30,0.01927167959645662,0.016436099479997968
2,clayton,0.5,0.5282051282051282,10.035897435897436,6.0,10000,10,0.5102,50-60,0.014692010894828064,0.02314557243800451
